start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail,trial_outcome,iti_kind,release_dwell_required_ms,release_dwell_elapsed_ms,,
2026-06-02T15:29:20.536,2026-06-02T15:33:04.819,224.283282,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:33:06.130,225.594682,SHOW,935,466,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:06.130,0:00:04
2026-06-02T15:29:20.536,2026-06-02T15:33:07.134,226.598401,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:07.134,226.598456,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:09.135,228.599132,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2000,,
2026-06-02T15:29:20.536,2026-06-02T15:33:13.642,233.106553,SHOW,1037,449,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:13.642,0:00:08
2026-06-02T15:29:20.536,2026-06-02T15:33:14.643,234.106871,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:14.643,234.106925,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:16.645,236.108936,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:33:17.956,237.420594,SHOW,1041,459,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:17.956,0:00:04
2026-06-02T15:29:20.536,2026-06-02T15:33:17.969,237.433555,ITI,981,478,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
